CustomerID,Name,Age,Gender,Email,Phone,Address,City,State,Country,ZipCode,JoinDate,LastPurchaseDate,TotalSpend,AvgOrderValue,NumOrders,PreferredCategory,PaymentMethod,AccountStatus,LoyaltyScore,CreditScore,Income,MaritalStatus,Occupation,Device,Browser,IsActive,Feedback,ReturnRate,RiskFlag
0,Fatima,150,, user@x.com , 12345 ,,Bangalore,DL,,ABCDE,2021-04-27,2016-04-27,abc,xyz,78.0,electronics,Card,Active,,50.0,,,,Desktop,,yes,,,True
413,Amit,twenty,,test@mail.com, 12345 ,,Mumbai,,IND,600001,,2014-12-22,10000000,847,-5.0,,Card,,,50.0,income,Married,###,,,True,!!!,,False
2,Priya,29,,, 12345 ,Street 1,Chennai,,USA,ABCDE,2010-11-13,,abc,4374,-5.0,,crypto,closed,,50.0,income,,Engineer,,,True,,,False
3,Wei,,M,invalid@,,@@@, New York ,TN,India,ABCDE,2014-11-28,,36009,318,82.0,,,Active,50.0,679.0,income,Single,Doctor,Desktop,Chrome,yes,bad,0.7271552294548347,True
4,###$$$,150,Male,invalid@,9999999999,,Delhi,KA,USA,600001,not_a_date,,10000000,,-5.0,,,Inactive,200.0,508.0,197262,Married,,,Chrome,yes,bad,5.0,flag
461,,150,F,,abc123,Street 1,Bangalore,,India,,,2016-04-19,10000000,xyz,-5.0,electronics,,closed,200.0,,income,Single,Engineer,Desktop,IE,False,bad,,flag
364,###$$$,44,F, user@x.com ,9999999999,,Bangalore,TN,IND,ABCDE,,,40582,,,,Card,,200.0,50.0,54215,,,,Chrome,False,good,0.7173241433110372,True
7,###$$$,,M,,abc123,Street 1,Bangalore,,IN,600001,not_a_date,2020-02-28,,xyz,,Electronics,Cash,,2.0,341.0,,,,Mobile,,yes,,,False
8,###$$$,36,Female,invalid@,,,Delhi,,IND,600001,,2010-10-20,,xyz,,,,Inactive,37.0,50.0,82837,,Doctor,Mobile,IE,yes,,0.2992255048060537,True
9,,150,Male, user@x.com ,9999999999,@@@,Bangalore,TN,IND,,2013-06-29,,25613,639,-5.0,Clothing,Card,,1.0,50.0,,,,Desktop,,True,,,False
10,Carlos,25,,test@mail.com, 12345 ,,Chennai,KA,IN,,,2010-12-11,,957,,electronics,,Inactive,200.0,799.0,,,###,,IE,yes,,0.635064793155105,False
11,Carlos,38,,invalid@,,, New York ,KA,,,2020-07-20,,3583,1943,,Electronics,crypto,,20.0,,,Single,###,Mobile,,True,,0.9057807233528663,
275,Fatima,twenty,,invalid@,9999999999,Street 1,,MH,IND,,2017-06-18,32-13-2020,10000000,,8.0,Clothing,Cash,,,356.0,,Married,,Mobile,Firefox,,,,flag
13,John,,Male,test@mail.com,abc123,,Chennai,,,,not_a_date,2020-12-30,10000000,xyz,-5.0,,UPI,Inactive,,50.0,69578,,,,Firefox,yes,,0.7895587282777832,True
14,,34,,invalid@,abc123,Street 1, New York ,,, 50000 ,not_a_date,2012-07-18,10000000,788,54.0,Electronics,crypto,Inactive,93.0,,,Single,,,IE,True,,,True
15,Sara,,M,test@mail.com,abc123,,Chennai,MH,,600001,not_a_date,,,1262,59.0,,UPI,,16.0,,,,,,Firefox,True,good,,False
16,Sara,150,,invalid@,abc123,,Delhi,DL,IN,600001,,32-13-2020,6106,,-5.0,,Cash,closed,,663.0,,,###,Mobile,,yes,good,5.0,
17,Carlos,twenty,Male,invalid@,9999999999,,Chennai,Tamil Nadu,,ABCDE,not_a_date,32-13-2020,,,-5.0,Clothing,UPI,,200.0,,,Single,,,Chrome,False,,5.0,
280,Sara,twenty,Male, user@x.com ,abc123,@@@,Delhi,,India,600001,,2010-11-29,10000000,xyz,,,Card,,,50.0,42350,Single,,,,,good,0.5301854376454147,False
