CustomerID,Name,Age,Gender,Email,Phone,City,State,Country,JoinDate,LastPurchaseDate,TotalSpend,AvgOrderValue,NumOrders,PreferredCategory,PaymentMethod,AccountStatus,LoyaltyScore,CreditScore,Income,MaritalStatus,Occupation,Device,Browser,IsActive,Feedback,ReturnRate,RiskFlag
1,Fatima,,Female,invalid@,,Bangalore,KA,India,,32-13-2020,,,,Electronics,Cash,Inactive,,,income,Single,Engineer,Desktop,Chrome,True,good,,False
2,Carlos,19.0,Male,user1@mail.com,9000000001,Bangalore,KA,India,2021-03-14,2017-08-12,23655.0,1991.0,87.0,Electronics,Cash,Inactive,2.0,726.0,165871,Single,Engineer,Desktop,Chrome,False,bad,0.97,False
3,John,37.0,Female,user2@mail.com,9000000002,Bangalore,KA,India,2021-08-09,2024-07-27,3262.0,4034.0,32.0,Clothing,Cash,Active,46.0,683.0,42666,Married,Engineer,Mobile,Firefox,False,average,0.73,False
4,  John ,120.0,,invalid@,abc123,,Tamil Nadu,India,not_a_date,32-13-2020,5000000.0,,,,,,,,,,,,,yes,,3.0,
5,Wei,44.0,Female,user4@mail.com,9000000004,Delhi,KA,India,2018-11-18,2015-01-07,36289.0,4524.0,80.0,Clothing,Cash,Active,29.0,481.0,164377,Single,Engineer,Desktop,Chrome,True,good,0.87,False
6,,120.0,M,invalid@,,,Tamil Nadu,India,not_a_date,32-13-2020,5000000.0,,-3.0,,,,150.0,,income,,,,,,,3.0,
7,Amit,34.0,Male,user6@mail.com,9000000006,Bangalore,TN,India,2017-07-12,2015-03-15,27038.0,1299.0,5.0,Electronics,Cash,Inactive,69.0,525.0,185353,Married,Engineer,Mobile,Firefox,False,bad,0.63,True
8,John,21.0,Female,user7@mail.com,9000000007,Chennai,TN,India,2018-06-25,2018-05-05,49748.0,1396.0,54.0,Clothing,Card,Active,71.0,338.0,174818,Single,Doctor,Mobile,Chrome,False,good,0.35,True
9,Wei,30.0,Female,user8@mail.com,9000000008,Chennai,KA,India,2018-04-27,2020-08-26,33754.0,240.0,42.0,Clothing,Cash,Active,20.0,505.0,105915,Single,Doctor,Desktop,Chrome,False,bad,0.1,False
10,Fatima,61.0,Female,user9@mail.com,9000000009,Mumbai,TN,India,2023-02-19,2015-06-15,6549.0,1189.0,22.0,Electronics,UPI,Active,34.0,640.0,177341,Married,Doctor,Desktop,Firefox,True,average,0.24,False
11,Amit,120.0,Male,,abc123,Bangalore,MH,India,not_a_date,,,,,Electronics,UPI,Active,,,income,Married,Engineer,Desktop,Firefox,True,good,3.0,True
212,Amit,20.0,Male,user11@mail.com,9000000011,Mumbai,KA,India,2016-10-25,2016-04-18,30550.0,1471.0,88.0,Electronics,Card,Active,55.0,687.0,162324,Married,Doctor,Desktop,Firefox,True,good,0.65,True
13,,120.0,,,,,Tamil Nadu,India,not_a_date,,5000000.0,,-3.0,,crypto,,150.0,,,,,,,yes,,3.0,
14,,,,,abc123,,,India,not_a_date,,,,,,crypto,,,100.0,,,,,,yes,,,
15,Carlos,22.0,Male,user14@mail.com,9000000014,Chennai,DL,India,2023-06-02,2023-11-19,24539.0,4140.0,61.0,Electronics,Card,Inactive,9.0,821.0,194390,Single,Engineer,Mobile,Chrome,False,average,0.11,False
16,Wei,,Female,invalid@,abc123,Delhi,KA,India,not_a_date,32-13-2020,,,,Electronics,UPI,Inactive,150.0,,income,Married,Engineer,Desktop,Firefox,True,average,3.0,True
17,Wei,19.0,Male,user16@mail.com,9000000016,Delhi,MH,India,2021-08-28,2016-05-27,10076.0,2222.0,36.0,Clothing,UPI,Inactive,22.0,391.0,81218,Married,Engineer,Mobile,Firefox,False,bad,0.64,True
18,Priya,32.0,Female,user17@mail.com,9000000017,Delhi,DL,India,2022-04-01,2017-06-17,4158.0,686.0,98.0,Clothing,Card,Active,39.0,605.0,98529,Married,Engineer,Desktop,Chrome,True,bad,0.96,False
19,John,54.0,Male,user18@mail.com,9000000018,Bangalore,KA,India,2023-01-16,2022-02-22,5000000.0,,,Electronics,UPI,Active,,,,Married,Engineer,Mobile,Chrome,False,good,3.0,False
20,Priya,26.0,Female,user19@mail.com,9000000019,Mumbai,TN,India,2019-11-02,2021-09-26,35999.0,3444.0,16.0,Clothing,Cash,Active,48.0,304.0,69765,Married,Engineer,Mobile,Chrome,False,good,0.17,True
21,Wei,34.0,Female,user20@mail.com,9000000020,Mumbai,DL,India,2020-07-03,2019-09-17,8982.0,1811.0,74.0,Clothing,Card,Inactive,13.0,324.0,50951,Single,Doctor,Mobile,Chrome,False,bad,0.81,False
22,Wei,38.0,Male,user21@mail.com,9000000021,Chennai,KA,India,2023-01-19,2020-01-16,23951.0,2596.0,70.0,Clothing,Cash,Inactive,14.0,686.0,120240,Single,Engineer,Desktop,Chrome,False,bad,0.83,False
23,Sara,62.0,Male,user22@mail.com,9000000022,Bangalore,MH,India,2019-01-12,2020-11-25,1230.0,3288.0,75.0,Clothing,Cash,Inactive,79.0,369.0,149158,Single,Doctor,Mobile,Firefox,True,bad,0.78,False
24,Fatima,22.0,Male,user23@mail.com,9000000023,Delhi,DL,India,2023-12-14,2022-12-10,27944.0,4558.0,39.0,Electronics,Cash,Inactive,62.0,473.0,142448,Single,Doctor,Mobile,Firefox,True,average,0.07,False
25,,,,,,,,India,not_a_date,32-13-2020,5000000.0,,,electronics,crypto,,150.0,100.0,,,,,,,,3.0,
26,Fatima,34.0,Female,user25@mail.com,9000000025,Mumbai,DL,India,2021-11-03,2022-12-04,17005.0,350.0,80.0,Clothing,Cash,Inactive,97.0,554.0,90540,Single,Engineer,Mobile,Firefox,True,bad,0.95,False
27,John,63.0,Female,user26@mail.com,9000000026,Delhi,DL,India,2023-06-05,2019-06-30,16760.0,1048.0,92.0,Electronics,UPI,Inactive,8.0,408.0,79669,Married,Doctor,Desktop,Chrome,True,good,0.06,True
28,Amit,49.0,Female,user27@mail.com,9000000027,Delhi,DL,India,2016-04-28,2021-11-16,46392.0,1514.0,13.0,Electronics,Cash,Active,63.0,760.0,119062,Single,Engineer,Mobile,Firefox,False,bad,0.58,True
29,Priya,55.0,Male,user28@mail.com,9000000028,Mumbai,TN,India,2015-07-09,2015-03-05,1342.0,4035.0,41.0,Clothing,UPI,Inactive,25.0,709.0,61960,Single,Engineer,Mobile,Firefox,True,bad,0.54,False
30,Carlos,37.0,Male,user29@mail.com,9000000029,Chennai,TN,India,2020-11-20,2024-06-05,9449.0,450.0,36.0,Electronics,Cash,Active,24.0,328.0,150983,Single,Doctor,Mobile,Firefox,False,average,0.63,False
31,Amit,55.0,Male,user30@mail.com,9000000030,Delhi,KA,India,2021-10-15,2022-10-30,37717.0,4377.0,8.0,Clothing,UPI,Inactive,68.0,504.0,160615,Married,Engineer,Desktop,Chrome,False,good,0.98,True
32,,,M,invalid@,,,Tamil Nadu,India,,32-13-2020,,,-3.0,,crypto,,150.0,100.0,income,,,,,,,3.0,
33,  John ,120.0,,invalid@,,,Tamil Nadu,India,,32-13-2020,5000000.0,,-3.0,electronics,,,150.0,,,,,,,yes,,,
34,Sara,24.0,Female,user33@mail.com,9000000033,Delhi,MH,India,2021-06-12,2015-09-23,,,,Clothing,Cash,Inactive,150.0,,income,Married,Engineer,Mobile,Chrome,False,bad,3.0,False
35,Sara,48.0,Female,user34@mail.com,9000000034,Delhi,KA,India,2024-02-23,2024-12-22,6122.0,4842.0,8.0,Electronics,Card,Inactive,73.0,557.0,84320,Married,Doctor,Desktop,Firefox,False,average,0.6,False
36,John,34.0,Male,user35@mail.com,9000000035,Mumbai,TN,India,2017-01-26,2023-08-05,27942.0,510.0,13.0,Clothing,UPI,Active,26.0,567.0,37504,Single,Engineer,Mobile,Chrome,False,good,0.59,False
37,John,56.0,Female,user36@mail.com,9000000036,Mumbai,KA,India,2020-01-27,2022-07-30,25062.0,4560.0,25.0,Clothing,UPI,Active,32.0,717.0,72786,Single,Doctor,Desktop,Chrome,False,bad,0.88,False
38,,,M,,abc123,,,India,,,5000000.0,,,,,,,,,,,,,yes,,,
39,Carlos,60.0,Male,user38@mail.com,9000000038,Chennai,TN,India,2024-06-28,2015-01-20,26127.0,2302.0,60.0,Clothing,Cash,Inactive,98.0,644.0,121832,Married,Engineer,Desktop,Firefox,True,average,0.15,True
40,John,55.0,Female,user39@mail.com,9000000039,Bangalore,DL,India,2020-10-05,2018-03-22,49465.0,3546.0,89.0,Clothing,Cash,Inactive,99.0,797.0,76482,Married,Doctor,Desktop,Chrome,True,good,0.21,True
41,Sara,27.0,Female,user40@mail.com,9000000040,Chennai,KA,India,2022-04-15,2023-02-11,13283.0,124.0,12.0,Clothing,UPI,Active,70.0,523.0,160112,Married,Doctor,Mobile,Chrome,False,bad,0.74,False
42,Fatima,63.0,Male,user41@mail.com,9000000041,Mumbai,TN,India,2024-09-18,2019-05-16,9112.0,3764.0,38.0,Clothing,Cash,Active,77.0,790.0,47742,Single,Doctor,Mobile,Chrome,False,average,0.74,False
43,Fatima,52.0,Male,user42@mail.com,9000000042,Delhi,KA,India,2016-02-26,2015-02-05,48794.0,2941.0,91.0,Clothing,Card,Inactive,38.0,403.0,79915,Married,Doctor,Mobile,Firefox,True,good,0.26,False
44,Amit,52.0,Male,user43@mail.com,9000000043,Bangalore,DL,India,2018-02-20,2020-05-20,46575.0,2605.0,35.0,Clothing,Card,Inactive,47.0,781.0,83350,Married,Engineer,Mobile,Firefox,True,good,0.5,True
45,John,38.0,Female,user44@mail.com,9000000044,Bangalore,DL,India,2016-04-29,2016-06-07,10182.0,2200.0,29.0,Electronics,UPI,Active,72.0,476.0,199507,Single,Engineer,Mobile,Firefox,False,average,0.0,True
46,John,23.0,Male,user45@mail.com,9000000045,Delhi,DL,India,2018-01-07,2021-09-28,48105.0,4346.0,49.0,Electronics,Card,Inactive,44.0,442.0,49727,Married,Engineer,Mobile,Firefox,True,good,0.72,True
47,Wei,21.0,Female,user46@mail.com,9000000046,Chennai,TN,India,2016-07-23,2019-06-24,25383.0,2082.0,13.0,Clothing,Cash,Active,65.0,629.0,49415,Married,Engineer,Desktop,Firefox,True,bad,0.58,False
48,Priya,37.0,Male,user47@mail.com,9000000047,Delhi,MH,India,2015-08-09,2021-09-23,34326.0,1000.0,23.0,Electronics,Card,Inactive,35.0,320.0,85644,Married,Doctor,Desktop,Chrome,False,bad,0.1,False
49,,,,,,,Tamil Nadu,India,not_a_date,32-13-2020,,,,,,,,100.0,income,,,,,yes,,3.0,
50,Carlos,56.0,Male,user49@mail.com,9000000049,Chennai,MH,India,2019-04-04,2023-05-18,37825.0,928.0,59.0,Electronics,Cash,Inactive,35.0,679.0,127067,Married,Doctor,Mobile,Chrome,False,good,0.65,True
51,Wei,26.0,Female,user50@mail.com,9000000050,Delhi,DL,India,2023-12-30,2020-04-25,46709.0,2108.0,80.0,Electronics,Card,Inactive,20.0,419.0,30637,Married,Doctor,Desktop,Firefox,True,bad,0.43,False
52,Sara,46.0,Male,user51@mail.com,9000000051,Mumbai,TN,India,2018-10-30,2022-07-19,8438.0,4302.0,23.0,Clothing,Cash,Active,74.0,322.0,145896,Single,Doctor,Mobile,Firefox,True,good,0.25,False
53,Priya,65.0,Female,user52@mail.com,9000000052,Delhi,KA,India,2022-04-22,2023-09-02,44462.0,1687.0,56.0,Clothing,Cash,Active,73.0,799.0,89850,Single,Engineer,Mobile,Firefox,False,good,0.8,True
54,Priya,60.0,Female,user53@mail.com,9000000053,Mumbai,MH,India,2020-11-18,2024-04-06,7929.0,2185.0,3.0,Clothing,Cash,Active,68.0,700.0,21395,Single,Doctor,Mobile,Chrome,False,bad,0.24,True
55,Wei,31.0,Female,user54@mail.com,9000000054,Mumbai,TN,India,2020-10-13,2023-02-16,,,-3.0,Electronics,Cash,Inactive,,100.0,income,Single,Engineer,Desktop,Chrome,True,good,,False
56,John,56.0,Male,user55@mail.com,9000000055,Delhi,KA,India,2020-08-16,2024-01-03,28368.0,4636.0,22.0,Clothing,UPI,Inactive,25.0,807.0,92988,Married,Engineer,Desktop,Firefox,True,bad,0.62,False
57,Sara,34.0,Female,user56@mail.com,9000000056,Bangalore,DL,India,2021-05-05,2020-03-30,1882.0,1320.0,17.0,Clothing,Card,Active,9.0,850.0,182116,Single,Doctor,Mobile,Chrome,False,average,0.71,True
58,Fatima,60.0,Male,user57@mail.com,9000000057,Chennai,KA,India,2019-04-17,2019-09-06,45722.0,1226.0,76.0,Electronics,UPI,Active,30.0,690.0,56549,Married,Engineer,Desktop,Firefox,True,good,0.3,True
